Letter|Finished|TACE|Unicode11 |Unicode12|Unicode13|Unicode21|Unicode22|Unicode23|utf8_tace16_addend
ஶோ|X|0xE34B|0xe0|0xae|0xb6|0xe0|0xaf|0x8b|10
ஶௌ|X|0xE34C|0xe0|0xae|0xb6|0xe0|0xaf|0x8c|11
ஷ்|X|0xE350|0xe0|0xae|0xb7|0xe0|0xaf|0x8d|-1
ஷ|X|0xE351|0xe0|0xae|0xb7||||0
ஷா|X|0xE352|0xe0|0xae|0xb7|0xe0|0xae|0xbe|1
ஷி|X|0xE353|0xe0|0xae|0xb7|0xe0|0xae|0xbf|2
ஷீ|X|0xE354|0xe0|0xae|0xb7|0xe0|0xaf|0x80|3
ஷு|X|0xE355|0xe0|0xae|0xb7|0xe0|0xaf|0x81|4
ஷூ|X|0xE356|0xe0|0xae|0xb7|0xe0|0xaf|0x82|5
ஷெ|X|0xE357|0xe0|0xae|0xb7|0xe0|0xaf|0x86|6
ஷே|X|0xE358|0xe0|0xae|0xb7|0xe0|0xaf|0x87|7
ஷை|X|0xE359|0xe0|0xae|0xb7|0xe0|0xaf|0x88|8
ஷொ|X|0xE35A|0xe0|0xae|0xb7|0xe0|0xaf|0x8a|9
ஷோ|X|0xE35B|0xe0|0xae|0xb7|0xe0|0xaf|0x8b|10
ஷௌ|X|0xE35C|0xe0|0xae|0xb7|0xe0|0xaf|0x8c|11
ஸ்|X|0xE360|0xe0|0xae|0xb8|0xe0|0xaf|0x8d|-1
ஸ|X|0xE361|0xe0|0xae|0xb8||||0
ஸா|X|0xE362|0xe0|0xae|0xb8|0xe0|0xae|0xbe|1
ஸி|X|0xE363|0xe0|0xae|0xb8|0xe0|0xae|0xbf|2
ஸீ|X|0xE364|0xe0|0xae|0xb8|0xe0|0xaf|0x80|3
ஸு|X|0xE365|0xe0|0xae|0xb8|0xe0|0xaf|0x81|4
ஸூ|X|0xE366|0xe0|0xae|0xb8|0xe0|0xaf|0x82|5
ஸெ|X|0xE367|0xe0|0xae|0xb8|0xe0|0xaf|0x86|6
ஸே|X|0xE368|0xe0|0xae|0xb8|0xe0|0xaf|0x87|7
ஸை|X|0xE369|0xe0|0xae|0xb8|0xe0|0xaf|0x88|8
ஸொ|X|0xE36A|0xe0|0xae|0xb8|0xe0|0xaf|0x8a|9
ஸோ|X|0xE36B|0xe0|0xae|0xb8|0xe0|0xaf|0x8b|10
ஸௌ|X|0xE36C|0xe0|0xae|0xb8|0xe0|0xaf|0x8c|11
ஹ்|X|0xE370|0xe0|0xae|0xb9|0xe0|0xaf|0x8d|-1
ஹ|X|0xE371|0xe0|0xae|0xb9||||0
ஹா|X|0xE372|0xe0|0xae|0xb9|0xe0|0xae|0xbe|1
ஹி|X|0xE373|0xe0|0xae|0xb9|0xe0|0xae|0xbf|2
ஹீ|X|0xE374|0xe0|0xae|0xb9|0xe0|0xaf|0x80|3
ஹு|X|0xE375|0xe0|0xae|0xb9|0xe0|0xaf|0x81|4
ஹூ|X|0xE376|0xe0|0xae|0xb9|0xe0|0xaf|0x82|5
ஹெ|X|0xE377|0xe0|0xae|0xb9|0xe0|0xaf|0x86|6
